responseID,persona,human,ss
R_1QKihfnXJqssSNl,"Racially, I am Asian. I am male. I was born in 1969. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Alberta. ",1,1
R_1dfRP4BaMk3yk0q,"Racially, I am white. I am female. I was born in 1964. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 4. I live in New Brunswick. ",1,1
R_1NDh5YRN0z0Klam,"Racially, I am white. I am female. I was born in 1984. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 1. I live in New Brunswick. ",-1,1
R_1MNeO57jL63IOSf,"Racially, I am white. I am female. I was born in 1986. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in Prince Edward Island. ",2,1
R_1dNedum1ZeXTS2N,"Racially, I am white. I am female. I was born in 1942. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in New Brunswick. ",1,1
R_1d7faTB09pYbzhy,"Racially, I am black. I am female. I was born in 1985. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Manitoba. ",2,1
R_1NFDv0LG8YS2tlb,"Racially, I am white. I am female. I was born in 1956. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 2. I live in Newfoundland and Labrador. ",1,2
R_1MJTAqhL0YEmK52,"Racially, I am . I am female. I was born in 1962. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in British Columbia. ",1,1
R_1QgRwIegAWjTqQk,"Racially, I am white. I am male. I was born in 1968. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 1. I live in Saskatchewan. ",2,2
R_1QuYJ0Dw7WAPO4y,"Racially, I am white. I am male. I was born in 1983. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Quebec. ",1,2
R_1OGOvMKbasgohp8,"Racially, I am white. I am male. I was born in 1953. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Nova Scotia. ",1,2
R_1Nhsh0z4sD75nNK,"Racially, I am white. I am female. I was born in 1960. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 1. I live in Quebec. ",1,2
R_1d0QTfQqU0tZdgu,"Racially, I am white. I am female. I was born in 1971. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Quebec. ",-1,2
R_1OIRKoTaOQ5FX5O,"Racially, I am white. I am female. I was born in 1996. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Ontario. ",2,1
R_1YPOk4EuvH4mEJb,"Racially, I am Arab. I am male. I was born in 1981. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Ontario. ",2,1
R_1cRC7hA9wdlZqn2,"Racially, I am white. I am female. I was born in 1955. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in Ontario. ",1,2
R_1ZwXoZP3S9FiOo9,"Racially, I am white. I am female. I was born in 1951. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in British Columbia. ",1,2
R_1cYPgwYXKp5FEVn,"Racially, I am white. I am male. I was born in 1938. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Nova Scotia. ",1,2
R_1M92ISdLaoyDwl3,"Racially, I am Asian. I am male. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in British Columbia. ",-1,1
R_1OVuV72xFSQlOpM,"Racially, I am white. I am female. I was born in 1975. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in British Columbia. ",1,2
R_1P6kZFeJVc684Vm,"Racially, I am white. I am male. I was born in 1966. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Newfoundland and Labrador. ",2,1
R_1eJcwcsPGW609KK,"Racially, I am Asian. I am female. I was born in 1985. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in British Columbia. ",1,1
R_1eESA8dyhbnTjis,"Racially, I am white. I am female. I was born in 1979. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Nova Scotia. ",1,2
R_1NCdm6KFOf921fT,"Racially, I am white. I am male. I was born in 1977. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Quebec. ",1,1
R_1eP5lo3HsDQm0N4,"Racially, I am white. I am female. I was born in 1970. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Quebec. ",1,1
R_1OwrJCZJC21R9yL,"Racially, I am white. I am female. I was born in 1987. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Manitoba. ",1,1
R_1OHplsVhCHMYZaQ,"Racially, I am white. I am female. I was born in 1998. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in British Columbia. ",1,2
R_1PTOV34fwzt3jtO,"Racially, I am white. I am female. I was born in 1957. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 4. I live in Nova Scotia. ",1,1
R_1flOeLLT8hVv8bL,"Racially, I am . I am female. I was born in 1970. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in British Columbia. ",2,1
R_1gT2xI7NQj5Ne0r,"Racially, I am white. I am male. I was born in 1970. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in British Columbia. ",-1,1
R_1P6FbyPcsxVMnGC,"Racially, I am white. I am male. I was born in 1967. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Nova Scotia. ",-1,2
R_1fiVyVrPh4GXLze,"Racially, I am Asian. I am female. I was born in 1982. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Ontario. ",1,1
R_1dgVCfhP5qwDw9s,"Racially, I am Indigenous. I am male. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Ontario. ",-1,1
R_1f6Nr7OE1V2rXpr,"Racially, I am white. I am female. I was born in 1943. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Manitoba. ",1,1
R_1d4ctNh5oqBiOxr,"Racially, I am white. I am male. I was born in 1967. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Newfoundland and Labrador. ",1,2
R_1fjjcgtwC2y0NZw,"Racially, I am white. I am male. I was born in 1962. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Saskatchewan. ",2,2
R_1duE6PTZiRdxWtB,"Racially, I am white. I am male. I was born in 1937. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Nova Scotia. ",1,2
R_1eyjE9qxR6ZIJp1,"Racially, I am white. I am female. I was born in 1951. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 2. I live in Alberta. ",1,2
R_1g0zV3K8daLP03F,"Racially, I am Asian. I am male. I was born in 1999. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 2. I live in Ontario. ",1,1
R_1QGY1xa4nnuaGEg,"Racially, I am Arab. I am male. I was born in 2004. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Ontario. ",-1,2
R_1OlBDlPy2VyDNQb,"Racially, I am . I am female. I was born in 1973. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Ontario. ",1,1
R_1flVjNogT4CMXUj,"Racially, I am white. I am female. I was born in 1977. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Nova Scotia. ",1,2
R_1eXHBCbcJ7UmSOE,"Racially, I am white. I am female. I was born in 1978. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Nova Scotia. ",2,1
R_1Qfu4DLkKPmBkPg,"Racially, I am white. I am female. I was born in 1949. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Prince Edward Island. ",1,1
R_1d5DK9ZKEF9zpcI,"Racially, I am white. I am female. I was born in 1999. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Newfoundland and Labrador. ",1,1
R_1gwJfUd7tMgFAcG,"Racially, I am white. I am male. I was born in 1946. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Saskatchewan. ",2,2
R_1gbi4DZ0sW15r4D,"Racially, I am Arab. I am female. I was born in 1969. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in New Brunswick. ",1,1
R_1hQjRjOTUQf1MWk,"Racially, I am white. I am female. I was born in 1995. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Ontario. ",1,2
R_1QMAYnu9XAv7yey,"Racially, I am white. I am male. I was born in 1985. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in British Columbia. ",-1,2
R_1dyTe0bvReBe3ad,"Racially, I am white. I am male. I was born in 1965. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Quebec. ",1,2
R_1f2sOWmnnKxiEV7,"Racially, I am white. I am male. I was born in 1980. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in New Brunswick. ",1,2
R_1K6JoeVGfqqrKqx,"Racially, I am white. I am male. I was born in 1963. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Prince Edward Island. ",1,2
R_1hFqSI28KKhPvGO,"Racially, I am white. I am male. I was born in 1981. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Ontario. ",-1,2
R_1hWHxcHHVkr4U13,"Racially, I am Asian. I am male. I was born in 1989. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Ontario. ",1,1
R_1gzq7O7wxtFWmSS,"Racially, I am white. I am male. I was born in 2001. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Ontario. ",2,2
R_1QxtytqCnfsOn3l,"Racially, I am white. I am male. I was born in 1985. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Quebec. ",2,1
R_1cXJuDltTdRO6OQ,"Racially, I am white. I am female. I was born in 1997. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 4. I live in Ontario. ",1,2
R_1hJRg2bOgdwHRx7,"Racially, I am white. I am female. I was born in 1970. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Ontario. ",1,2
R_1cZym47tOFlakDS,"Racially, I am Asian. I am female. I was born in 2000. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Quebec. ",1,2
R_1hRJvLdn5llVVME,"Racially, I am white. I am female. I was born in 1997. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Alberta. ",1,2
R_1f6DfqnTfAeKgoB,"Racially, I am white. I am female. I was born in 1979. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in Prince Edward Island. ",2,2
R_1RGUn1bRMlWJPnb,"Racially, I am white. I am female. I was born in 1960. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 2. I live in Saskatchewan. ",-1,2
R_1Ui8yyj2ObKPVlv,"Racially, I am Asian. I am male. I was born in 1968. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Saskatchewan. ",2,1
R_1i4EZYj5pbFq60k,"Racially, I am white. I am female. I was born in 1962. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 1. I live in Ontario. ",1,2
R_1dcM30RaULvRRR0,"Racially, I am white. I am male. I was born in 1966. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Saskatchewan. ",1,1
R_1dLTI0kY5z1bwFt,"Racially, I am Asian. I am female. I was born in 1999. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Manitoba. ",1,2
R_1dhJwXrPLqOfqpS,"Racially, I am white. I am female. I was born in 1995. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Ontario. ",1,2
R_1dp2PJRlZjbWHYi,"Racially, I am white. I am female. I was born in 1965. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in New Brunswick. ",2,2
R_1dax257nu9vo8Sx,"Racially, I am white. I am male. I was born in 1955. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Manitoba. ",1,2
R_1jCEqg1LVupp5L6,"Racially, I am white. I am male. I was born in 1964. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Ontario. ",1,2
R_1dixuFI7O1eTGrq,"Racially, I am white. I am female. I was born in 1999. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Alberta. ",1,2
R_1gefG4tHfHhNR8V,"Racially, I am white. I am female. I was born in 1963. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Alberta. ",2,2
R_1dgo09q6Yi3tDqy,"Racially, I am white. I am male. I was born in 1966. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in British Columbia. ",2,1
R_1gH2SIF2JH8e4BA,"Racially, I am white. I am male. I was born in 1969. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Quebec. ",2,1
R_1dmE9BqLi8Bt0Ir,"Racially, I am white. I am male. I was born in 1958. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Alberta. ",1,2
R_1dv70vT8DG7f4TU,"Racially, I am white. I am female. I was born in 1998. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Ontario. ",1,2
R_1jQh5wWxioBDhPy,"Racially, I am white. I am male. I was born in 1951. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Ontario. ",1,2
R_1eQ03Bt809qmZTd,"Racially, I am white. I am female. I was born in 1998. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in New Brunswick. ",-1,2
R_1ikd14VfwRVQ8In,"Racially, I am white. I am male. I was born in 1984. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Nova Scotia. ",1,2
R_1jTBsHwu9sPLPSl,"Racially, I am Asian. I am male. I was born in 2002. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Ontario. ",2,1
R_1is5Qbg1W3vPT7g,"Racially, I am Arab. I am male. I was born in 1987. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Ontario. ",-1,1
R_1dsOdDiqWSuaaRL,"Racially, I am white. I am male. I was born in 1992. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Nova Scotia. ",1,2
R_1dskAkscfX6vQIB,"Racially, I am white. I am female. I was born in 1989. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in New Brunswick. ",-1,2
R_1jlWNeuzVPs2Rks,"Racially, I am white. I am female. I was born in 1935. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in Quebec. ",1,2
R_1ghzJrviOn9iLh3,"Racially, I am white. I am female. I was born in 1992. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 4. I live in Alberta. ",1,2
R_1jpIcG5xflgAdTt,"Racially, I am white. I am female. I was born in 1957. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Nova Scotia. ",1,1
R_1jlCBkAw5WP2KT1,"Racially, I am white. I am female. I was born in 1952. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Newfoundland and Labrador. ",1,1
R_1eQYf9YGO57K0Ri,"Racially, I am white. I am male. I was born in 1942. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Ontario. ",2,2
R_1kGP22b1g7s9Byq,"Racially, I am black. I am female. I was born in 1985. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Ontario. ",1,1
R_1eLdaU8NIwu9rBA,"Racially, I am white. I am male. I was born in 1994. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Saskatchewan. ",2,1
R_1gUT3ZV96pdiMR1,"Racially, I am white, Indigenous. I am female. I was born in 2002. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 4. I live in Ontario. ",1,1
R_1dz8hRAQ6I1VXMl,"Racially, I am Arab. I am female. I was born in 1984. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Quebec. ",1,1
R_1l3Rw7NbEdAWt9g,"Racially, I am white. I am female. I was born in 1944. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in Quebec. ",2,1
R_1kM289KF9oym5mf,"Racially, I am white. I am female. I was born in 1981. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Ontario. ",2,1
R_1eOxS5XFUmN4yoz,"Racially, I am white. I am female. I was born in 1989. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Ontario. ",2,2
R_1i9AKeMO9xTx54Q,"Racially, I am Asian. I am male. I was born in 1956. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in British Columbia. ",1,2
R_1gFpXHExZErbsx0,"Racially, I am Asian. I am male. I was born in 1963. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in British Columbia. ",2,1
R_1jIKXLWoru5q0md,"Racially, I am white. I am male. I was born in 1952. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Manitoba. ",1,2
R_1gCSeBSUrywKFHK,"Racially, I am . I am female. I was born in 1999. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in Alberta. ",-1,2
R_1hZq4olCH9kNYtU,"Racially, I am white. I am male. I was born in 1957. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Manitoba. ",2,2
R_1gkGCM6uzYTNyy5,"Racially, I am Asian. I am male. I was born in 1977. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in British Columbia. ",-1,1
R_1mCNdgbjhKJZaGV,"Racially, I am Arab. I am female. I was born in 1998. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Alberta. ",-1,1
R_1gNrECX1DoHgSTS,"Racially, I am white. I am female. I was born in 1958. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 1. I live in Saskatchewan. ",2,1
R_1iaQpNgOSAhR9y8,"Racially, I am . I am male. I was born in 1971. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Alberta. ",1,2
R_1ieTMFLDQ7TAudO,"Racially, I am white. I am female. I was born in 1991. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 4. I live in Prince Edward Island. ",1,1
R_1ghATOQlbDrTX6o,"Racially, I am white, Arab. I am male. I was born in 1990. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Saskatchewan. ",-1,1
R_1irph0hMA8NEqWF,"Racially, I am white. I am female. I was born in 1964. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Quebec. ",-1,1
R_1g6WQ3kyySjjsyT,"Racially, I am white. I am female. I was born in 1983. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Nova Scotia. ",1,2
R_1mCNwY4ubgyzN5m,"Racially, I am white. I am female. I was born in 1963. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in Quebec. ",-1,1
R_1mUTQgOpS0JRAc7,"Racially, I am white. I am female. I was born in 1970. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Saskatchewan. ",1,2
R_1kHR4tdTQwAHym0,"Racially, I am white. I am female. I was born in 1973. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in Quebec. ",1,2
R_1lc3zFJb6pDN4CL,"Racially, I am white. I am male. I was born in 1942. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Manitoba. ",2,1
R_1mrfXcb8VURK6BK,"Racially, I am white. I am female. I was born in 1951. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Quebec. ",1,1
R_1mC8NbDesMbQrAw,"Racially, I am white. I am male. I was born in 1946. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Ontario. ",1,2
R_1hTlSl6aLTWLNor,"Racially, I am white. I am male. I was born in 1972. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Ontario. ",1,2
R_1gzNZcYwFMt9UYA,"Racially, I am white. I am male. I was born in 1947. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in British Columbia. ",1,2
R_1kZIgClfZpQUVn0,"Racially, I am white. I am female. I was born in 1980. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Quebec. ",-1,1
R_1k2kcMNOkuftdaq,"Racially, I am white. I am male. I was born in 1955. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in British Columbia. ",1,2
R_1meIGHjP2GF7CMB,"Racially, I am white. I am female. I was born in 1992. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Ontario. ",1,2
R_1nNKtToKyd8hHF3,"Racially, I am white. I am female. I was born in 1985. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Quebec. ",2,2
R_1hRU80YowBIQiF1,"Racially, I am Asian. I am female. I was born in 1995. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in British Columbia. ",1,1
R_1jZCIdxi6ezADoF,"Racially, I am white. I am female. I was born in 2002. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 1. I live in Prince Edward Island. ",1,1
R_1hXdTy1Em564nbu,"Racially, I am white. I am male. I was born in 1969. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Quebec. ",2,2
R_1i2MB0PHMQ1KfBf,"Racially, I am white. I am female. I was born in 1951. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Manitoba. ",-1,1
R_1n8B2MkSLA34eaC,"Racially, I am white. I am female. I was born in 1998. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in Ontario. ",1,2
R_1ltnzOpc5xeuTRT,"Racially, I am white. I am female. I was born in 1965. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Saskatchewan. ",2,2
