,VCF0105a,VCF0731,VCF0803,VCF0301,VCF0130,VCF0101,VCF0104,VCF0310,VCF0901b
61869,1,1,1,3,5,24,2,3,CA
61870,3,1,1,3,4,62,2,3,CO
61871,5,1,2,1,5,58,1,2,CO
61872,1,1,3,2,5,32,1,3,KY
61873,1,1,2,1,5,36,1,2,KS
61874,1,9,4,5,3,29,2,1,MN
61875,1,1,3,2,5,67,2,3,TX
61876,1,1,6,7,3,60,1,3,ID
61877,1,1,5,2,1,41,2,2,VA
61878,1,5,9,7,3,25,2,2,MO
61879,1,1,1,3,5,30,1,2,MD
61880,2,1,9,1,3,63,1,3,MO
61881,1,5,9,3,5,67,2,1,TN
61882,6,1,6,6,1,47,2,2,FL
61883,1,1,4,5,5,54,1,3,OH
61884,2,1,4,1,5,71,2,2,NM
61885,1,1,1,1,3,45,2,2,MA
61886,1,1,3,3,4,63,2,2,MI
61887,6,1,9,2,3,42,2,3,FL
61888,1,1,4,3,5,55,1,3,IL
61889,1,1,5,5,5,63,2,2,TX
61890,1,1,2,1,5,73,2,3,CO
61891,2,1,4,2,1,62,1,3,FL
61892,6,1,4,4,4,50,1,2,KS
61893,2,1,4,2,3,49,2,3,MS
61894,1,1,9,1,1,58,1,3,IL
61895,1,1,9,7,3,77,1,2,SC
61896,1,1,2,1,5,80,2,3,CA
61897,1,1,5,5,4,78,1,3,HI
61898,1,1,6,7,5,69,1,3,SC
61899,4,1,2,6,5,49,2,2,OK
61900,1,1,7,6,5,79,1,3,TN
61901,1,1,2,1,4,68,2,3,CA
61902,1,1,6,7,2,57,2,3,LA
61903,2,1,9,3,5,26,2,1,FL
61904,1,1,7,7,5,78,1,2,OK
61905,1,1,4,7,1,34,2,3,NV
61906,1,1,4,4,5,54,2,2,IL
61907,5,5,4,4,2,46,2,3,FL
61908,1,5,2,3,5,72,2,3,NH
61909,1,1,4,4,5,49,2,1,MA
61910,1,1,6,7,5,51,2,3,NJ
61911,1,1,5,5,4,69,1,3,FL
61912,2,9,3,7,2,68,1,2,TN
61913,1,1,9,1,2,68,2,3,OH
61914,1,1,6,6,3,33,2,2,OK
61915,3,1,2,2,4,29,2,2,CA
61916,2,5,4,1,1,59,2,3,AL
61917,2,1,4,1,5,42,2,2,WI
61918,2,1,9,1,1,67,2,3,FL
61919,1,1,4,3,5,63,1,3,NE
61920,5,1,2,1,4,24,2,3,CA
61921,1,9,3,4,5,42,2,3,OR
61922,1,1,2,2,5,41,1,3,WA
61923,5,1,4,7,3,24,2,2,ID
61924,1,9,4,1,1,30,1,3,CA
61925,1,1,6,6,5,65,1,2,AZ
61926,5,5,9,4,5,41,2,1,CA
61927,1,1,9,4,5,24,1,1,FL
61928,1,5,4,7,1,78,2,2,OH
61929,1,1,1,1,5,33,2,3,MA
61930,1,1,9,5,5,35,1,1,WI
61931,1,9,5,5,4,42,1,1,FL
61932,1,1,6,7,3,29,1,2,PA
61933,1,1,6,7,9,74,2,3,PA
61934,5,9,4,4,5,23,1,1,CA
61935,3,5,7,7,4,39,2,2,WA
61936,1,1,4,5,2,69,2,2,KS
61937,3,1,4,1,5,30,1,3,MD
61938,6,1,2,1,5,29,1,2,NC
61939,5,1,4,2,1,46,2,3,CA
61940,1,1,4,6,2,54,2,2,NJ
61941,1,1,4,1,2,61,1,3,NC
61942,1,1,5,6,1,39,2,1,NC
61943,1,1,6,3,5,68,1,3,IA
61944,1,1,6,7,1,73,1,3,SC
61945,5,1,9,4,2,25,2,2,TX
61946,1,1,5,5,5,65,2,3,WI
61947,1,1,4,4,5,25,1,3,CT
61948,1,1,6,7,5,72,1,3,IN
61949,1,1,9,7,5,67,1,3,NJ
61950,5,5,4,4,2,29,1,2,CA
61951,9,1,9,4,5,0,0,3,OK
61952,1,1,2,1,5,34,1,3,GA
61953,1,1,6,5,3,27,1,3,IN
61954,1,1,4,5,1,63,2,2,AZ
61955,2,1,9,1,2,80,2,2,MI
61956,1,1,4,2,5,49,1,3,CA
61957,1,1,5,6,3,55,2,3,KS
61958,5,1,4,3,4,40,2,2,TX
61959,1,5,9,6,5,46,2,3,NY
61960,1,1,4,5,1,76,1,3,MI
61961,1,1,9,7,5,61,2,2,NC
61962,1,1,4,4,5,37,2,1,NY
61963,1,1,5,2,5,80,1,3,WA
61964,1,1,2,3,5,39,1,1,CA
61965,1,1,2,1,4,64,2,3,VT
61966,5,1,3,2,4,34,1,2,CA
61967,1,1,4,7,2,80,2,2,CO
61968,1,1,4,6,3,47,1,1,CO
61969,1,9,6,6,2,39,1,2,LA
61970,1,1,6,5,4,74,1,3,NC
61971,2,1,9,1,4,62,1,2,NC
61972,1,1,5,6,3,58,2,2,TX
61973,1,1,7,6,1,67,1,3,TN
61974,1,1,4,1,5,77,1,3,CA
61975,1,1,6,7,4,42,2,1,MN
61976,1,1,6,5,4,53,2,2,WV
61977,1,1,4,6,5,65,1,3,CA
61978,1,1,5,5,3,49,2,3,MA
61979,1,1,6,5,5,39,1,1,AL
61980,1,1,6,7,1,69,1,3,UT
61981,2,1,9,1,1,58,2,2,MI
61982,1,1,5,4,5,77,2,3,NJ
61983,1,5,6,7,5,45,1,1,MO
61984,1,9,5,5,5,39,1,3,NY
61985,3,1,4,4,5,42,1,1,FL
61986,1,1,4,5,4,41,2,3,NC
61987,4,1,4,3,5,49,2,2,AL
61988,1,1,3,3,1,39,2,2,MO
61989,1,1,6,5,5,75,2,3,CT
61990,1,1,2,1,5,52,2,3,MD
61991,1,1,2,1,4,71,1,3,TN
61992,1,1,4,1,5,61,2,3,CA
61993,1,1,2,1,2,80,2,3,VA
61994,1,1,3,7,5,59,1,3,IN
61995,1,1,2,1,5,68,1,3,AZ
61996,1,1,4,4,4,50,2,3,NJ
61997,1,1,2,1,5,67,2,3,MA
61998,3,1,3,3,5,27,2,2,NY
61999,6,1,2,3,5,28,1,2,FL
62000,1,5,3,2,5,67,1,1,IL
62001,1,1,3,1,3,66,2,3,NJ
62002,1,5,4,6,5,42,2,2,AZ
62003,5,1,9,1,1,62,2,3,MA
62004,5,1,2,1,5,37,2,1,KS
62005,1,1,1,1,3,47,1,3,NJ
62006,1,9,6,7,4,52,1,1,SC
62007,1,1,6,5,5,58,2,2,NM
62008,1,1,6,7,2,73,1,3,CO
62009,1,1,6,6,2,75,2,2,NC
62010,6,1,4,2,5,51,2,2,ID
62011,5,1,4,6,4,24,2,2,CA
62012,1,1,4,4,2,71,2,3,WA
62013,3,1,6,5,4,68,1,2,CA
62014,1,5,6,7,5,0,2,2,MD
62015,1,1,4,3,5,61,2,3,MD
62016,1,1,6,7,5,65,1,3,GA
62017,1,1,6,7,2,80,2,2,NY
62018,1,1,9,2,5,40,1,1,TX
62019,1,1,4,4,3,57,2,3,TX
62020,1,1,6,4,4,50,2,2,TN
62021,1,1,9,5,2,80,1,3,NC
62022,1,1,4,1,5,75,1,3,PA
62023,6,1,3,2,5,30,2,3,MT
62024,1,1,6,7,3,65,1,3,WI
62025,1,1,1,1,5,46,1,3,MD
62026,2,1,3,1,4,44,1,3,TX
62027,1,1,2,1,4,35,2,3,OH
62028,1,1,1,1,1,80,2,3,WA
62029,1,5,4,4,5,48,1,1,NY
62030,1,1,7,7,4,39,2,3,AL
62031,1,1,5,6,5,35,2,2,CA
62032,1,1,3,7,5,31,2,2,PA
62033,1,1,6,6,5,31,1,2,SC
62034,6,1,4,2,5,25,1,3,PA
62035,1,1,5,6,5,30,2,1,CO
62036,1,1,9,4,2,75,1,1,GA
62037,1,1,5,5,4,62,1,3,MN
62038,1,1,3,1,5,72,1,3,NJ
62039,5,1,5,5,5,44,1,3,NJ
62040,1,1,4,4,1,0,2,2,MI
62041,1,1,7,7,1,80,1,3,SC
62042,1,1,6,5,1,79,1,2,GA
62043,1,1,5,2,4,65,2,2,IN
62044,2,1,4,1,1,30,2,3,NC
62045,1,1,4,3,5,44,1,3,MI
62046,1,1,7,7,4,52,1,3,CA
62047,1,1,4,5,4,47,1,2,IL
62048,1,1,2,1,5,56,2,3,IN
62049,1,1,3,3,3,38,2,3,PA
62050,1,1,2,1,5,24,2,3,OR
62051,2,1,5,2,4,32,1,2,RI
62052,1,1,5,5,2,62,1,3,CA
62053,1,1,6,6,1,36,1,2,CA
62054,1,1,2,1,4,50,2,3,OR
62055,1,1,9,4,1,77,2,3,WI
62056,2,1,1,1,1,48,2,3,FL
62057,1,1,1,1,5,35,2,3,MD
62058,1,1,6,6,5,0,1,3,MD
62059,3,1,3,2,5,59,2,3,VA
62060,1,1,4,5,4,43,1,2,VA
62061,1,1,9,6,5,39,1,1,MO
62062,1,1,9,2,5,55,2,2,OH
62063,2,1,4,7,5,40,1,2,GA
62064,1,1,5,6,2,46,2,3,PA
62065,1,1,3,6,1,80,1,3,NY
62066,1,1,1,1,4,41,2,3,IN
62067,1,1,6,7,1,72,2,3,TN
62068,1,5,4,4,5,27,2,3,TX
62069,2,1,4,4,3,28,2,2,MO
62070,1,1,3,1,2,80,1,3,NC
62071,1,1,6,5,3,71,1,3,LA
62072,1,1,3,3,5,44,1,3,SD
62073,1,1,6,5,1,46,1,3,PA
62074,1,1,6,7,5,42,2,2,IL
62075,5,1,3,2,5,53,2,3,FL
62076,1,1,9,7,5,54,1,2,NY
62077,1,1,5,5,5,36,1,2,SC
62078,1,5,9,4,5,50,2,1,IL
62079,1,9,6,5,5,27,1,3,FL
62080,1,1,7,7,1,57,1,3,KS
62081,1,1,5,6,5,28,1,3,GA
62082,1,1,4,6,5,47,2,3,OH
62083,1,1,6,7,4,61,2,2,OH
62084,1,1,6,7,9,71,1,3,PA
62085,2,1,2,1,5,62,1,3,PA
62086,1,1,1,3,5,22,1,2,IL
62087,1,1,6,2,5,63,1,3,TX
62088,1,1,1,1,5,71,1,3,VT
62089,1,1,9,7,4,77,2,2,OH
62090,1,1,3,1,2,65,2,2,AZ
62091,1,1,5,6,5,55,1,2,WI
62092,2,1,2,1,1,44,2,3,NC
62093,1,1,6,7,2,76,2,2,NE
62094,1,1,1,1,5,61,2,3,NJ
62095,1,1,4,2,2,70,1,3,NY
62096,1,1,2,5,5,77,1,2,NY
62097,1,1,4,7,4,80,1,3,NH
62098,5,5,7,7,4,78,2,3,TX
62099,6,1,5,6,5,54,1,2,NJ
62100,3,5,9,4,4,71,1,3,VA
62101,1,1,9,2,5,45,1,2,AR
62102,6,1,2,2,2,34,2,3,NY
62103,5,1,3,1,5,40,1,2,MD
62104,6,1,4,6,2,80,2,2,NY
62105,1,1,1,3,5,33,1,3,NY
62106,1,1,6,6,4,53,2,3,IN
62107,1,1,2,4,5,66,2,3,MN
62108,5,1,3,2,5,37,1,2,MA
62109,4,5,4,4,5,71,1,3,NY
62110,2,1,2,1,1,47,2,2,NJ
62111,1,1,6,5,1,80,2,1,AZ
62112,1,9,9,2,5,62,2,2,TX
62113,1,1,2,1,4,52,1,3,WI
62114,3,1,6,4,4,58,1,2,TX
62115,1,1,9,7,5,69,2,3,CA
62116,5,9,9,1,3,57,1,1,CA
62117,1,1,9,6,3,45,1,1,FL
62118,4,1,9,5,5,55,1,2,SD
62119,1,1,2,1,5,33,2,2,TX
62120,4,1,9,1,4,56,1,3,MD
62121,3,1,5,1,5,67,1,2,NJ
62122,1,1,4,1,5,61,1,2,NY
62123,1,1,6,7,3,75,2,3,FL
62124,5,1,3,3,5,37,1,3,WA
62125,1,5,2,1,1,23,1,3,NY
62126,3,1,2,1,5,43,2,3,VA
62127,1,1,4,1,1,48,1,3,CA
62128,1,5,6,5,1,80,2,3,OR
62129,5,1,2,1,5,44,2,3,MI
62130,1,1,2,1,5,80,2,3,KY
62131,1,1,5,4,3,41,2,2,IL
62132,1,1,6,6,3,80,1,1,GA
62133,1,1,5,7,5,69,2,2,IN
62134,1,1,5,5,5,37,2,1,CA
62135,1,1,2,2,5,53,2,2,NJ
62136,2,1,5,1,3,46,1,2,GA
62137,1,1,1,1,5,40,1,3,MD
62138,6,1,2,2,5,26,2,2,OH
62139,1,1,7,7,2,55,1,3,TN
62140,1,1,4,5,5,73,1,3,NC
62141,1,1,9,1,5,50,2,3,DC
62142,3,5,4,2,4,63,1,2,NY
62143,5,1,4,1,2,58,1,3,NM
62144,1,1,1,3,5,40,2,2,KS
62145,1,1,2,1,4,63,2,3,NY
62146,6,5,4,4,5,34,2,1,WI
62147,1,1,7,7,2,77,1,3,AZ
62148,1,1,2,1,5,68,2,3,FL
62149,4,1,6,7,5,66,1,3,FL
62150,1,1,2,2,5,39,2,2,PA
62151,2,1,9,1,5,31,2,2,KY
62152,2,1,9,1,5,67,2,3,MS
62153,1,1,4,4,1,78,1,3,PA
62154,1,1,7,7,5,49,1,3,OH
62155,1,1,6,7,1,43,1,3,CA
62156,1,1,3,7,4,38,1,2,CA
62157,1,1,3,2,5,51,2,2,WA
62158,1,1,4,2,5,33,2,2,DC
62159,1,1,6,7,1,60,1,3,NC
62160,1,1,2,1,5,60,1,3,MI
62161,1,1,4,4,5,50,2,2,WI
62162,1,1,7,7,3,45,2,3,TX
62163,6,1,9,2,5,73,2,2,HI
62164,1,9,5,1,5,64,1,2,MO
62165,2,1,4,1,3,31,2,3,TX
62166,1,1,6,4,2,35,1,1,MI
62167,1,1,4,5,4,29,1,2,FL
62168,1,1,5,6,1,47,1,2,AZ
62169,5,1,4,4,5,34,2,2,TX
62170,1,1,7,7,5,31,1,1,PA
62171,1,1,6,7,3,63,2,2,TX
62172,1,1,4,3,5,36,1,3,OK
62173,1,1,2,3,5,41,2,3,CA
62174,1,1,3,1,2,80,1,2,PA
62175,1,1,2,3,5,53,1,2,CO
62176,1,9,6,7,5,55,1,1,FL
62177,2,1,4,1,1,54,1,3,MD
62178,3,1,4,1,5,67,1,3,HI
62179,1,1,1,1,5,61,2,3,KY
62180,1,1,6,6,5,25,2,2,MI
62181,1,1,7,7,1,0,2,3,TX
62182,1,1,4,4,5,63,2,2,NC
62183,1,1,3,1,5,43,2,3,TN
62184,1,1,6,7,4,53,2,3,MO
62185,1,1,6,7,5,64,2,3,TX
62186,9,9,6,7,9,0,2,3,KS
62187,5,1,3,4,1,0,0,2,TX
62188,1,1,6,7,5,56,1,2,KS
62189,1,1,1,1,5,41,1,3,CA
62190,1,1,6,7,3,35,1,3,AZ
62191,1,1,9,4,5,78,1,2,DE
62192,1,1,4,2,5,54,1,2,MI
62193,2,1,9,1,5,65,1,2,MS
62194,1,1,6,6,5,36,2,1,IL
62195,6,1,6,6,4,59,1,3,WA
62196,1,1,7,7,2,61,1,2,MI
62197,6,1,2,1,4,39,2,3,LA
62198,1,5,4,6,3,33,2,2,MN
62199,2,1,3,1,1,43,2,3,LA
62200,3,1,3,3,1,27,1,2,MA
62201,2,1,1,1,1,34,2,3,AL
62202,1,1,6,7,5,73,2,3,MI
62203,2,9,3,3,4,34,1,3,IL
62204,1,1,4,7,1,60,1,1,MI
62205,1,1,4,5,4,50,1,2,VA
62206,9,1,4,4,9,0,2,2,TX
62207,1,1,3,6,2,48,1,2,WA
62208,1,1,6,7,1,71,1,3,KS
62209,5,9,9,1,5,23,2,2,AZ
62210,1,1,6,6,1,33,1,3,WI
62211,1,1,2,1,9,65,2,3,NC
62212,1,1,7,7,1,22,2,2,MS
62213,3,5,4,2,4,54,1,2,PA
62214,1,1,6,5,1,0,2,3,GA
62215,2,5,4,1,4,51,2,1,MD
62216,1,1,6,7,5,52,1,3,IL
62217,9,1,9,0,9,0,0,3,TN
62218,1,1,3,1,2,64,2,3,CA
62219,5,1,3,3,5,55,2,2,DC
62220,1,1,1,1,1,41,2,3,VA
62221,1,1,6,7,5,37,1,2,WI
62222,1,1,4,2,1,43,2,2,GA
62223,1,1,6,5,1,76,1,3,MO
62224,1,9,6,5,4,72,1,2,PA
62225,1,9,7,5,2,37,1,3,PA
62226,1,1,4,4,5,59,1,3,WI
62227,5,5,9,2,2,50,2,2,TX
62228,1,1,7,7,5,57,1,3,FL
62229,1,1,1,3,5,44,2,3,CA
62230,1,9,1,3,5,38,2,3,MA
62231,1,1,6,7,5,39,1,2,MI
62232,6,5,2,1,5,28,1,2,MA
62233,5,1,4,5,5,42,1,2,TX
62234,1,1,9,7,5,63,1,2,NH
62235,1,1,2,3,5,77,2,3,NY
62236,1,1,9,4,5,59,1,2,MO
62237,5,1,6,5,2,64,2,3,TX
62238,1,1,9,4,5,75,2,3,NH
62239,1,1,2,1,4,60,1,3,IL
62240,5,1,3,2,5,25,1,3,NV
62241,1,1,6,7,5,75,2,2,MO
62242,5,1,6,7,4,27,1,2,CA
62243,5,1,6,5,1,0,1,3,TX
62244,1,1,7,7,5,37,2,2,PA
62245,1,1,9,3,4,25,2,2,IN
62246,1,1,6,5,4,66,2,2,NH
62247,2,1,4,1,1,64,1,3,SC
62248,1,1,9,1,1,60,2,3,MI
62249,1,1,4,4,4,26,2,2,WV
62250,1,1,4,1,4,69,2,3,VA
62251,5,1,4,3,2,21,1,3,VA
62252,4,1,6,7,1,67,2,3,AR
62253,1,1,1,2,5,23,1,3,FL
62254,1,1,6,7,1,62,1,3,MN
62255,1,1,7,5,1,63,2,2,FL
62256,2,1,5,1,4,39,2,2,LA
62257,1,1,5,5,5,80,1,3,FL
62258,1,9,5,6,4,23,1,1,VA
62259,1,1,4,1,4,72,2,3,SD
62260,1,1,7,7,3,51,2,3,FL
62261,2,1,4,1,1,62,2,3,CA
62262,1,1,6,7,3,49,1,3,TN
62263,1,1,6,6,1,64,1,1,AR
62264,1,5,9,4,1,50,2,1,TX
62265,1,1,9,7,5,39,2,2,VA
62266,5,1,4,5,4,46,2,1,CA
62267,1,5,4,6,5,34,1,1,CA
62268,1,1,9,7,5,54,2,1,KS
62269,1,1,4,6,5,61,2,3,NJ
62270,1,1,7,7,1,64,2,3,WV
62271,1,5,4,5,5,62,1,3,IL
62272,1,1,4,5,5,35,1,2,TX
62273,1,1,2,1,4,43,2,2,MI
62274,1,1,4,2,3,58,2,2,KS
62275,1,1,2,1,5,68,1,3,MO
62276,1,1,5,6,4,78,2,3,IN
62277,1,1,6,6,2,48,1,2,WI
62278,1,1,4,6,1,80,1,3,OH
62279,1,1,5,7,5,46,2,3,MA
62280,1,1,3,3,2,71,1,3,IN
62281,1,1,5,3,3,64,1,3,IN
62282,1,1,2,2,4,23,2,2,CA
62283,1,5,9,4,4,44,2,2,PA
62284,1,1,6,7,1,50,2,3,ID
62285,1,1,5,7,5,27,1,3,PA
62286,1,1,6,7,5,54,2,3,TN
62287,1,1,9,4,5,45,1,2,KS
62288,1,1,5,6,2,68,2,2,KS
62289,1,5,1,4,3,23,2,2,OH
62290,1,1,2,1,5,23,1,3,ID
62291,1,1,4,4,5,77,2,3,MI
62292,2,1,2,3,1,72,2,3,TX
62293,1,9,7,7,5,71,2,3,TN
62294,1,5,7,5,2,71,1,2,MS
62295,1,1,7,7,2,56,2,2,CA
62296,1,1,7,7,1,0,2,2,OH
62297,9,1,9,4,9,0,1,3,WI
62298,1,1,4,7,2,62,1,3,KY
62299,1,1,4,6,5,35,1,3,OH
62300,2,1,1,1,2,70,2,3,OK
62301,1,1,4,6,2,29,2,1,WI
62302,1,1,9,4,2,71,2,2,IL
62303,1,5,9,4,5,36,1,1,LA
62304,1,5,6,4,5,66,1,3,NY
62305,6,1,3,3,1,58,2,3,GA
62306,5,5,3,3,4,71,2,3,ID
62307,2,5,1,5,1,42,2,3,TX
62308,1,1,7,7,1,77,2,3,CA
62309,1,1,4,4,5,43,2,3,NC
62310,1,1,4,3,5,59,2,3,MI
62311,1,1,4,2,5,32,2,1,NC
62312,1,1,6,7,4,66,2,1,FL
62313,1,9,5,6,1,61,1,2,MD
62314,1,1,5,4,4,80,2,2,CA
62315,1,1,3,6,5,42,1,2,NJ
62316,1,1,2,1,1,80,1,3,DC
62317,1,1,4,2,4,43,2,3,SC
62318,1,1,3,1,2,72,1,3,MO
62319,1,1,2,2,5,80,1,3,MA
62320,1,1,4,5,1,35,2,2,UT
62321,6,5,5,5,5,52,1,2,CA
62322,3,5,4,1,4,73,1,3,CA
62323,1,1,3,3,5,55,2,3,DC
62324,1,1,4,6,1,35,2,1,KY
62325,1,1,9,6,3,59,2,1,GA
62326,5,9,3,1,1,55,1,1,NE
62327,2,1,2,1,4,38,2,2,CT
62328,1,1,3,1,5,51,2,2,MO
62329,1,1,1,1,2,69,2,3,PA
62330,1,1,6,7,5,33,2,2,TX
62331,1,1,7,7,2,74,2,3,PA
62332,1,1,6,7,5,32,2,3,TX
62333,1,1,4,5,1,79,2,3,WA
62334,5,1,4,1,5,76,1,3,FL
62335,1,1,6,7,2,70,2,3,IN
62336,1,1,2,1,1,62,2,3,OK
62337,1,1,9,3,5,60,1,3,MO
62338,1,5,9,4,5,35,1,1,TX
62339,1,1,4,6,4,40,2,3,OK
62340,1,1,2,3,5,80,2,3,WA
62341,1,1,4,6,5,40,2,2,OH
62342,1,9,9,7,5,25,1,2,AZ
62343,1,1,5,7,2,43,2,2,GA
62344,1,1,4,6,5,59,1,2,NJ
62345,1,9,9,1,5,57,2,2,FL
62346,4,1,5,4,4,80,1,3,OH
62347,1,1,3,2,5,80,2,1,AZ
62348,5,1,6,1,1,70,2,2,TX
62349,1,1,2,1,4,38,1,3,MA
62350,1,1,6,7,2,73,1,3,IL
62351,1,1,2,3,5,47,1,3,MA
62352,1,1,3,4,5,37,1,2,WA
62353,1,1,9,7,5,48,1,3,PA
62354,1,1,5,7,2,33,2,2,TX
62355,1,1,9,6,3,65,1,3,IL
62356,1,1,5,5,2,60,2,2,CO
62357,5,1,4,1,2,67,2,3,TX
62358,5,1,4,1,4,0,1,2,WI
62359,1,1,4,5,4,72,1,3,CA
62360,1,1,4,1,4,22,2,3,VA
62361,1,1,2,2,5,55,2,3,TN
62362,1,1,6,6,2,62,1,1,NJ
62363,1,1,5,6,2,38,1,1,DC
62364,1,1,7,7,1,52,2,3,TN
62365,1,5,2,3,4,45,2,1,KS
62366,6,1,6,6,5,40,1,3,OK
62367,1,1,7,7,5,68,2,3,OK
62368,1,1,6,7,5,53,2,2,NC
62369,6,1,2,1,5,63,1,3,MD
62370,1,1,7,7,1,80,2,3,TN
62371,1,5,9,1,4,55,2,2,OH
62372,1,1,7,7,1,71,2,3,TN
62373,1,1,3,2,2,62,2,2,WA
62374,1,9,4,1,2,64,2,3,IA
62375,1,1,2,1,5,62,2,3,TN
62376,2,5,9,3,1,41,2,1,NC
62377,1,5,9,6,5,24,1,1,WY
62378,1,1,6,7,5,71,2,3,IN
62379,5,9,2,3,5,39,2,1,IN
62380,5,9,3,4,4,39,2,1,CA
62381,1,1,6,6,5,0,1,3,AZ
62382,1,5,5,6,3,56,1,2,NE
62383,1,1,4,7,5,51,2,3,MA
62384,1,1,6,5,5,79,2,3,CA
62385,1,1,2,1,5,35,2,3,NJ
62386,1,1,5,5,5,39,1,2,TX
62387,2,1,4,1,2,73,2,3,GA
62388,1,1,3,3,5,49,2,2,IA
62389,1,1,4,4,5,44,2,3,MD
62390,3,1,3,1,4,57,2,3,NJ
62391,1,1,4,3,5,22,1,3,CA
62392,1,1,2,3,5,80,2,3,MA
62393,4,1,9,1,5,55,1,2,NE
62394,2,1,2,1,1,69,1,3,VA
62395,1,1,5,5,1,65,1,3,NJ
62396,1,1,4,3,5,29,1,3,TX
62397,2,1,1,1,5,39,2,3,IL
62398,3,1,9,4,1,23,1,2,TX
62399,1,1,6,6,1,47,2,2,KY
62400,1,1,5,6,4,32,1,3,MA
62401,2,1,4,1,2,60,2,3,NC
62402,1,1,3,5,5,22,1,1,NC
62403,4,1,2,2,5,35,1,2,SC
62404,1,1,2,1,5,39,1,3,CO
62405,1,1,1,2,5,27,1,3,OR
62406,1,1,6,4,3,28,1,2,CO
62407,1,1,2,1,1,34,1,3,AZ
62408,1,1,4,6,4,58,2,2,FL
62409,1,1,4,6,5,40,2,1,PA
62410,1,1,4,3,4,29,2,2,MI
62411,1,1,3,3,2,75,1,3,MI
62412,1,1,3,5,2,40,2,1,KY
62413,1,1,4,3,5,42,2,3,MD
62414,1,1,6,5,4,62,1,3,AZ
62415,1,5,4,4,5,44,2,2,OH
62416,1,1,9,3,5,57,2,3,WI
62417,2,1,4,3,5,59,1,3,NJ
62418,3,1,9,6,1,57,1,2,NC
62419,1,9,1,4,5,36,2,3,NY
62420,1,1,4,5,5,60,1,2,VA
62421,1,1,2,1,5,62,2,3,NH
62422,2,5,2,2,3,24,2,2,SC
62423,1,1,4,1,4,55,1,3,OH
62424,1,1,6,7,1,77,2,3,VA
62425,1,1,2,1,5,80,2,3,MN
62426,6,1,2,1,5,27,2,3,GA
62427,4,1,4,1,2,51,1,3,NY
62428,2,1,3,2,1,58,2,3,MI
62429,1,5,9,7,2,0,2,2,FL
62430,1,1,6,5,5,66,1,3,IL
62431,1,1,4,4,3,46,1,2,MO
62432,1,1,6,6,1,32,1,2,SC
62433,1,9,6,7,3,49,1,3,IL
62434,1,1,3,1,5,40,2,3,TX
62435,1,1,4,2,5,42,2,1,CA
62436,1,1,9,1,5,80,2,3,WI
62437,1,1,6,4,4,29,1,3,MN
62438,1,1,4,6,5,53,1,2,KY
62439,1,1,3,5,5,34,2,1,MS
62440,5,5,3,2,3,32,2,1,TX
62441,1,1,4,5,3,68,2,1,AZ
62442,1,1,1,3,5,37,2,2,IA
62443,1,1,6,6,5,72,2,3,TX
62444,1,1,3,1,5,62,2,3,OH
62445,3,1,3,4,2,40,1,2,CA
62446,1,1,6,7,2,80,2,3,TX
62447,1,1,4,5,4,34,1,2,MT
62448,1,1,1,1,5,80,2,3,ID
62449,1,1,1,1,5,71,2,3,RI
62450,1,1,6,7,4,61,1,1,FL
62451,3,1,2,7,5,51,1,2,TX
62452,2,1,4,3,5,50,1,3,OH
62453,1,1,4,3,5,38,1,2,CA
62454,1,1,4,6,2,67,1,3,MI
62455,2,1,1,3,5,63,2,3,PA
62456,1,1,6,5,5,49,1,2,KS
62457,1,1,6,7,2,67,2,2,KS
62458,1,1,2,3,5,60,1,3,CA
62459,5,1,4,3,5,27,2,2,KY
62460,1,1,2,1,5,26,1,2,IL
62461,5,1,4,3,5,50,1,1,AZ
62462,1,1,3,4,4,52,1,3,DE
62463,1,1,6,7,1,72,1,3,VA
62464,5,1,2,1,5,35,1,2,CA
62465,1,1,6,7,5,73,1,3,RI
62466,1,9,9,6,5,61,1,1,IL
62467,1,1,6,7,4,59,1,3,MI
62468,1,1,6,7,5,59,1,3,TX
62469,9,1,5,6,5,36,0,2,GA
62470,1,1,9,5,5,56,1,2,RI
62471,1,5,4,4,4,31,2,1,PA
62472,1,1,1,1,5,42,1,3,CA
62473,1,1,6,6,2,37,2,3,CA
62474,1,1,6,7,2,67,1,3,PA
62475,1,1,2,2,1,79,2,3,CT
62476,1,1,2,1,5,49,2,3,PA
62477,1,1,6,6,5,37,2,3,NV
62478,1,1,5,6,5,70,2,3,WA
62479,2,1,4,3,1,58,2,3,MS
62480,1,9,2,1,5,25,2,3,VA
62481,1,1,6,7,4,42,1,2,FL
62482,1,1,4,4,5,25,1,1,IA
62483,3,9,4,7,4,80,1,3,IL
62484,1,1,9,4,4,55,2,2,OR
62485,5,1,7,7,5,57,2,3,TN
62486,1,1,2,1,5,44,2,3,NY
62487,1,1,6,7,2,56,2,2,IA
62488,3,5,4,4,5,55,2,1,NJ
62489,1,1,3,1,5,63,2,3,MD
62490,5,5,9,4,5,40,2,1,CA
62491,1,1,6,7,1,60,2,3,WI
62492,1,1,9,3,5,55,1,1,CA
62493,1,1,4,4,5,70,1,3,CO
62494,1,1,6,7,4,52,2,1,TN
62495,1,1,1,1,5,35,2,2,WI
62496,1,1,2,2,5,47,1,2,CA
62497,1,5,5,4,4,62,2,2,IL
62498,1,1,5,5,5,35,1,2,TX
62499,1,1,4,4,5,70,1,2,WI
